packet_index,frame_index,event_index,payload_len,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,center_symbol_accuracy,multi_raw_ser,multi_symbol_ser,multi_symbol_accuracy,selected_raw_ser,selected_symbol_ser,selected_symbol_accuracy,locked_symbol_count,uncertain_symbol_count,locked_ratio,false_lock_count,locked_with_gt_count,false_lock_rate,uncertain_candidate_hits,uncertain_candidate_total,uncertain_candidate_recall,mean_selected_offset_coherence,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,center_crc_valid,center_payload_hex,center_decode_error,multi_crc_valid,multi_payload_hex,multi_decode_error,selected_crc_valid,selected_payload_hex,selected_decode_error,dataset,target_snr_db
6,6,6,33,35,35,0.11428571428571428,0.11428571428571428,0.8857142857142857,0.0,0.0,1.0,0.0,0.0,1.0,23,12,0.6571428571428571,0,23,0.0,12,12,1.0,0.9800130449117106,0.7873506628065894,0.42133461249867526,26,0,404433221100190058303132333435363738397a3f3c3d3e3f40111ed2f4923512,,1,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-17.0
7,7,7,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,27,8,0.7714285714285715,0,27,0.0,8,8,1.0,0.9711193765598105,0.17983994668918613,0.5496849938549049,26,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-17.0
8,8,8,33,35,35,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.0,0.0,1.0,0.0,0.0,1.0,25,10,0.7142857142857143,0,25,0.0,10,10,1.0,0.9781884776860799,0.9301566949254099,0.37444121285226206,26,0,4044332211001b0148312173773071323738393a3b3c3d3e3f4051715359572613,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-17.0
9,9,9,33,35,35,0.08571428571428572,0.08571428571428572,0.9142857142857143,0.0,0.0,1.0,0.0,0.0,1.0,21,14,0.6,0,21,0.0,14,14,1.0,0.9785173506301176,0.6890031860320445,0.6435199669900675,26,0,4044332211003c227a989930333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-17.0
0,0,0,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9832956081219659,0.9166576243760628,0.14112884447565677,26,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
1,1,1,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9872208970673447,0.8955957555357442,0.12130247823774018,26,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
2,2,2,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9863482792291689,0.8800089579176578,0.13241977933342894,26,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
3,3,3,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,33,2,0.9428571428571428,0,33,0.0,2,2,1.0,0.9835544476846838,0.8984329268481699,0.13483858147309474,26,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
4,4,4,33,35,35,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9809897641008917,0.9117474702251672,0.11766901051261276,26,0,404433221100170058303132333435363730393a333c3d3e3f4041424378563412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
5,5,5,33,35,35,0.4,0.4,0.6,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,22,13,0.6285714285714286,0,22,0.0,13,13,1.0,0.9673703464102841,0.945377628794306,0.35855283972774044,26,0,4044398811aa52d9887c74bf33de39501f181938393c3d3e3f404152437957341a,,0,404411023122180058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100180058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
6,6,6,33,35,35,0.34285714285714286,0.34285714285714286,0.6571428571428571,0.0,0.0,1.0,0.0,0.0,1.0,23,12,0.6571428571428571,0,23,0.0,12,12,1.0,0.975074880566717,0.7878802444006254,0.42218390409350975,26,0,404433221100590058307116f73673f83538397a3f3c3d3e3f40313cf2d6b03542,,1,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
7,7,7,33,35,35,0.05714285714285714,0.05714285714285714,0.9428571428571428,0.0,0.0,1.0,0.0,0.0,1.0,28,7,0.8,0,28,0.0,7,7,1.0,0.9641064710318153,0.13569494426139583,0.547529097011864,26,0,4044332211001a0058303132111635343529383a2a3d3d3e3f4041424378563412,,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
8,8,8,33,35,35,0.3142857142857143,0.3142857142857143,0.6857142857142857,0.0,0.0,1.0,0.0,0.0,1.0,16,19,0.45714285714285713,0,16,0.0,19,19,1.0,0.9725770654172178,0.7462473218184769,0.6254442121399801,26,0,4044332211001b0168130173773071323738393a3b3c3d2e3f4110b51f511b2a13,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
9,9,9,33,35,35,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.0,0.0,1.0,0.0,0.0,1.0,25,10,0.7142857142857143,0,25,0.0,10,10,1.0,0.9726453202261579,0.6907532098735236,0.6389226429038461,26,0,4044332211003c227a98993033343536371a3b1a1b3e3d3e3f4041424378563412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-18.0
0,0,0,33,35,35,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9789323311580822,0.9149553249586994,0.14315867492888545,26,0,404433221100130058303132333435363738293b3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
1,1,1,33,35,35,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9837979833705712,0.8945923284949593,0.1221189465171757,26,0,404433221100140058303132333435363738393a3b3c3d3e3f404142437856b49a,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
2,2,2,33,35,35,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9828004433377493,0.8877442160331869,0.1442368728421257,26,0,404433221100150058303132333435363738393a3b3c3d3e3f40c14a4bf85e3412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
3,3,3,33,35,35,0.05714285714285714,0.05714285714285714,0.9428571428571428,0.0,0.0,1.0,0.0,0.0,1.0,33,2,0.9428571428571428,0,33,0.0,2,2,1.0,0.9794859404154441,0.8952302987969996,0.13710345988185593,26,0,404433221100160058303132333435367738797a7b383d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
4,4,4,33,35,35,0.11428571428571428,0.11428571428571428,0.8857142857142857,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9755163585373748,0.9108610699068316,0.1179472456111249,26,0,404473265144130058303132333435363730393a333c3d3e3f4041424378567412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
5,5,5,33,35,35,0.5714285714285714,0.5714285714285714,0.4285714285714286,0.08571428571428572,0.08571428571428572,0.9142857142857143,0.02857142857142857,0.02857142857142857,0.9714285714285714,12,23,0.34285714285714286,0,12,0.0,23,23,1.0,0.9578999496651148,0.0022291298444897523,0.517703674973989,26,0,40547d9d44eb52d9887c74bf33de39501f181938399c173637c841524159553438,,0,4044110231229888d8b03132333435363738393a3b3c3d3e3f4041435378473512,,0,404433221100180058303132333435363738393a3b3c3d3e3f4041435378473512,,0_0_0_10_14_8,-19.0
6,6,6,33,35,35,0.4857142857142857,0.4857142857142857,0.5142857142857142,0.0,0.0,1.0,0.0,0.0,1.0,22,13,0.6285714285714286,0,22,0.0,13,13,1.0,0.9688775398692621,0.7883694929738518,0.42328523215832614,26,0,404433221100598858387116f73673f8b530a97337342c3f3f40313cf2d6b03542,,1,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
7,7,7,33,35,35,0.3142857142857143,0.3142857142857143,0.6857142857142857,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,23,12,0.6571428571428571,0,23,0.0,12,12,1.0,0.9554312098259449,0.1374587684831674,0.5473959081410509,26,0,4044332211001a01d9b1a9bb99163534352d783e6a797b3c3d264160615a743612,,0,4044332211001a0058303132333435363738393a3b3c3d3e3f406142417a563612,,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
8,8,8,33,35,35,0.37142857142857144,0.37142857142857144,0.6285714285714286,0.0,0.0,1.0,0.0,0.0,1.0,23,12,0.6571428571428571,0,23,0.0,12,12,1.0,0.9655498480955436,0.7449083875629642,0.6266620081783388,26,0,4044bbaa9100130168130173773071323738393a3b3c3d2e3f4110b51f511b2a13,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
9,9,9,33,35,35,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.0,0.0,1.0,0.0,0.0,1.0,22,13,0.6285714285714286,0,22,0.0,13,13,1.0,0.9646465407409226,0.6925955655594682,0.6339423070699143,26,0,4044732255443c227a98993037743572371a3b1a1bbe3d363fc0494a4b78de3412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-19.0
0,0,0,33,35,35,0.17142857142857143,0.17142857142857143,0.8285714285714285,0.0,0.0,1.0,0.0,0.0,1.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9734162282968478,0.9126235892014216,0.1457745956907253,26,0,404433331101120058303122322535263738293b3b3c3d3e3f404142437856b49a,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
1,1,1,33,35,35,0.11428571428571428,0.11428571428571428,0.8857142857142857,0.0,0.0,1.0,0.0,0.0,1.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9793164369106898,0.8929513975534726,0.1233754792512738,26,0,404433221100041059313173333435763738393a3b3c3d3e3f404102473856b49a,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
2,2,2,33,35,35,0.08571428571428572,0.08571428571428572,0.9142857142857143,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9783000328578161,0.8867743039575656,0.1456376953097961,26,0,406433203302170058303132377431363738393a3b3c3d3e3f40c14a4bf85e3412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
3,3,3,33,35,35,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.0,0.0,1.0,0.0,0.0,1.0,33,2,0.9428571428571428,0,33,0.0,2,2,1.0,0.9743541992687991,0.8913367384944865,0.13982308238583935,26,0,404433221100160058303132331415167538797a7b383d3e3f4041624178563612,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
4,4,4,33,35,35,0.22857142857142856,0.22857142857142856,0.7714285714285715,0.0,0.0,1.0,0.0,0.0,1.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9688828358394279,0.9093177359081388,0.11870666908549969,26,0,404473265144130018343532331435143530393a331c3d1e1d6243424378567412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
5,5,5,33,35,35,0.6857142857142857,0.6857142857142857,0.3142857142857143,0.2571428571428571,0.2571428571428571,0.7428571428571429,0.08571428571428572,0.08571428571428572,0.9142857142857143,12,23,0.34285714285714286,0,12,0.0,20,23,0.8695652173913043,0.9347703273869888,0.001978546196539477,0.5109775521079153,26,0,40547d9d44eb52db8a5c56bd32ce29511f181938399c173637c8415241d1dd3438,,0,4044198ab12a8888c8a031733310331017181938393c3d3e3f404107133c473512,,0,40441102312218005830313233343536371a391a1b3c3d3e3f4041435378473512,,0_0_0_10_14_8,-20.0
6,6,6,33,35,35,0.6571428571428571,0.6571428571428571,0.34285714285714286,0.05714285714285714,0.05714285714285714,0.9428571428571428,0.02857142857142857,0.02857142857142857,0.9714285714285714,13,22,0.37142857142857144,0,13,0.0,21,22,0.9545454545454546,0.9556748958911216,0.805906415811444,0.40447050511855603,26,0,40c43beeddcc5d8858387106e62662e9943089711736287b3b40313cf2d6b03542,,0,4044332211001900583031323bbc37bc3738393a3b3c3d3e3f4041424378563412,,0,404433221100190058303112333637343538393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
7,7,7,33,35,35,0.5714285714285714,0.5714285714285714,0.4285714285714286,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,18,17,0.5142857142857142,0,18,0.0,17,17,1.0,0.9447405158356438,0.13929675407500797,0.5474357045200986,26,0,4044332211001a01d9b1a9bb99163534352d783e6af97bb43526c9f8f95aece79b,,0,4044332211001a0058303132333435363738393a3b3c3d3e3f406142417a563612,,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
8,8,8,33,35,35,0.5428571428571428,0.5428571428571428,0.4571428571428572,0.08571428571428572,0.08571428571428572,0.9142857142857143,0.0,0.0,1.0,21,14,0.6,0,21,0.0,14,14,1.0,0.9567958968940279,0.9301780744825987,0.3777155646753249,26,0,4044bbaa91001301681301f37730f93237383b3a3b1e3f2e1f4310b51f511b6a1b,,0,4044332211000b1148303033333435363738393a3b3c3d3e3f406160437a763612,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
9,9,9,33,35,35,0.45714285714285713,0.45714285714285713,0.5428571428571429,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,18,17,0.5142857142857142,0,18,0.0,17,17,1.0,0.954233017921125,0.6945044861396787,0.6286109567259958,26,0,4054723344453c227a98993037743572371a3b1a1b9e3d363fe2090a4f7cda3412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-20.0
0,0,0,33,35,35,0.37142857142857144,0.37142857142857144,0.6285714285714286,0.0,0.0,1.0,0.0,0.0,1.0,30,5,0.8571428571428571,0,30,0.0,5,5,1.0,0.9664584529599485,0.9126568693172591,0.14879285002027676,26,0,406457711325001059303123722171663738293b3b3cbd3e37c04142437856b4da,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-21.0
1,1,1,33,35,35,0.2,0.2,0.8,0.0,0.0,1.0,0.0,0.0,1.0,31,4,0.8857142857142857,0,31,0.0,4,4,1.0,0.9735808506109122,0.8904173272587965,0.12523556133698013,26,0,40443322110004105931317333343576b730313233343d3e3f40e122ef1254b69a,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-21.0
2,2,2,33,35,35,0.2,0.2,0.8,0.0,0.0,1.0,0.0,0.0,1.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9726042777284368,0.8852409825152442,0.14757364156178698,26,0,407433203312160058303132155613163738393a3b1c3d3c3f62c34a4bf85e3412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-21.0
3,3,3,33,35,35,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,32,3,0.9142857142857143,0,32,0.0,3,3,1.0,0.9678869238275685,0.8865913165093053,0.14309126916942963,26,0,40443322110016005830313233150406f53871727b383d3e3f4051725069461752,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-21.0
4,4,4,33,35,35,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,0.0,1.0,0.0,0.0,1.0,32,3,0.9142857142857143,0,32,0.0,3,3,1.0,0.9608398808978085,0.9068517317058625,0.12014914948359574,26,0,40447326514413001c307132b394b5943530393a330ca55bc5fec74343f0c77412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-21.0
5,5,5,33,35,35,0.7428571428571429,0.7428571428571429,0.2571428571428571,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.2,0.2,0.8,5,30,0.14285714285714285,0,5,0.0,24,30,0.8,0.9223539688349279,0.7452827073435466,0.5416385881428579,26,0,40547d9d44eb52db8a5c56bd32ce29511f1c19787d9c173637c8415241d1dd3438,,0,4044198ab12aa8aaca8033f13b983b181f181938393c1f3c3f42438f9b3ccfbd1a,,0,404419a8118a109840b1b11b33361514371a391a1b3c3d3e3f4041435378473512,,0_0_0_10_14_8,-21.0
6,6,6,33,35,35,0.8285714285714286,0.8285714285714286,0.17142857142857137,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.02857142857142857,0.02857142857142857,0.9714285714285714,12,23,0.34285714285714286,0,12,0.0,22,23,0.9565217391304348,0.9459263163443282,0.8069013006974849,0.4050559942549611,26,0,40c43beeddcc6dba5b096105e62662e9943089711736287bb3c8393cf2d6b0b5ca,,0,4044332211001988d830392a3abd37bd3638292b3abcb5afb7d84046037c167016,,0,404433221100190058303112333637343538393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-21.0
7,7,7,33,35,35,0.6857142857142857,0.6857142857142857,0.3142857142857143,0.2,0.2,0.8,0.02857142857142857,0.02857142857142857,0.9714285714285714,10,25,0.2857142857142857,0,10,0.0,24,25,0.96,0.9257649959744455,0.14119553492724934,0.5476823693848912,26,0,4064312231221a01d9b1a9bb991635343525783e6af97aa42536c8f8f95aece79b,,0,4064312231221a0058303132333435367739397a7b3c3c2f2e416142c17a563612,,0,4044332211001a0058303132333435363738393a3b3c3d3e3f406142417a563612,,0_0_0_10_14_8,-21.0
8,8,8,33,35,35,0.8,0.8,0.19999999999999996,0.2571428571428571,0.2571428571428571,0.7428571428571429,0.08571428571428572,0.08571428571428572,0.9142857142857143,12,23,0.34285714285714286,0,12,0.0,20,23,0.8695652173913043,0.9369963415874334,0.9293485854325505,0.396630575762541,26,0,4034888de5631301681301f37730f93227382a2a2b1f7f4e5d4110b51f511b6a39,,0,40c43baa11000b11483030f37730f9323738393a3b3c3d3e3f4061e043faf63612,,0,4044332211000b1148303033333435363738393a3b3c3d3e3f406160417a543612,,0_0_0_10_14_8,-21.0
9,9,9,33,35,35,0.6285714285714286,0.6285714285714286,0.37142857142857144,0.11428571428571428,0.11428571428571428,0.8857142857142857,0.0,0.0,1.0,13,22,0.37142857142857144,0,13,0.0,22,22,1.0,0.9411383189707289,0.6558172571912214,0.636602491507623,26,0,4074723164476c633e9d883537743572271a2b1a0a9e3d363fe2090a4f7cda7412,,0,4044332211001c104830313333343536371a1b18193e3d3e3f4041424378563412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-21.0
0,0,0,33,35,35,0.5142857142857142,0.5142857142857142,0.48571428571428577,0.02857142857142857,0.02857142857142857,0.9714285714285714,0.0,0.0,1.0,24,11,0.6857142857142857,0,24,0.0,11,11,1.0,0.9577101723965007,0.9091940720649428,0.15227428964883388,26,0,406457711325001019347123722171663730a13bb324bd3e26d14057426817b4da,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-22.0
1,1,1,33,35,35,0.37142857142857144,0.37142857142857144,0.6285714285714286,0.0,0.0,1.0,0.0,0.0,1.0,25,10,0.7142857142857143,0,25,0.0,10,10,1.0,0.9664437099165639,0.8866448808362768,0.1279119375972281,26,0,40043326514000325933335331141774b730313233747df6bb8cc920ed1074b69a,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-22.0
2,2,2,33,35,35,0.4857142857142857,0.4857142857142857,0.5142857142857142,0.0,0.0,1.0,0.0,0.0,1.0,22,13,0.6285714285714286,0,22,0.0,13,13,1.0,0.965429541320056,0.8829701534503783,0.1501954367859942,26,0,40f43ba83b9a0e80d12821b2955e1b9e3731293b23143d387b22c74a4bf85e3412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-22.0
3,3,3,33,35,35,0.45714285714285713,0.45714285714285713,0.5428571428571429,0.05714285714285714,0.05714285714285714,0.9428571428571428,0.0,0.0,1.0,28,7,0.8,0,28,0.0,7,7,1.0,0.959792341620875,0.8807900215232496,0.14702371515998885,26,0,40443b2291001688d030b93233150406f53871626b191d1e3d621176106d461352,,0,40443322110016005830313233343536b7383132333c3d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-22.0
4,4,4,33,35,35,0.6857142857142857,0.6857142857142857,0.3142857142857143,0.05714285714285714,0.05714285714285714,0.9428571428571428,0.02857142857142857,0.02857142857142857,0.9714285714285714,20,15,0.5714285714285714,0,20,0.0,14,15,0.9333333333333333,0.9432876683378482,0.9214885574282521,0.118848666517737,26,0,40c4fba6d94c0b0a861bc032f790b19471703d3e730ca55bc5fe870545f4837292,,0,404422220000170058303132333435363738393a3b1c3d1c1f6041424378563412,,0,404433221100170058303132333435363738393a3b3c1f3c3f4241424378563412,,0_0_0_10_14_8,-22.0
5,5,5,33,35,35,0.9142857142857143,0.9142857142857143,0.08571428571428574,0.5428571428571428,0.5428571428571428,0.4571428571428572,0.34285714285714286,0.34285714285714286,0.6571428571428571,3,32,0.08571428571428572,0,3,0.0,22,32,0.6875,0.9011236037752575,0.9497190134147481,0.3131189655401051,26,0,40547d9d44eb52db8a5c56bd32ce29518f8488f8ed8d52767289041645d59d3038,,0,4054198ab02be8aa8ec433f53b983b181f18193839bc9fbc3fca438f9b3ccfbd1a,,0,4044198a31aa109840b1b19b3bbe1d1c7f5a7d5e5b383d3e3f400147573803311a,,0_0_0_10_14_8,-22.0
6,6,6,33,35,35,0.8285714285714286,0.8285714285714286,0.17142857142857137,0.34285714285714286,0.34285714285714286,0.6571428571428571,0.22857142857142856,0.22857142857142856,0.7714285714285715,7,28,0.2,0,7,0.0,20,28,0.7142857142857143,0.9159565973522401,0.8068378709191133,0.32339840356047056,26,0,40c43beeddcc6dba5b096105e62662e9943089711736287bb3c8393cf2d6b0b5ca,,0,4044332211001988d830396a3efd37bd3638292b3abcb5afb7d84046037c167007,,0,4044332211009980d0b8b902b2a637a53c38393a3b3c2c3f3f4041420778567012,,0_0_0_10_14_8,-22.0
7,7,7,33,35,35,0.8,0.8,0.19999999999999996,0.34285714285714286,0.34285714285714286,0.6571428571428571,0.11428571428571428,0.11428571428571428,0.8857142857142857,7,28,0.2,0,7,0.0,24,28,0.8571428571428571,0.9054623365120901,0.058860920084747526,0.38645051888082527,26,0,4034747730631a01d9b1a9bb9d5675703525783e6af97aa42536c8f8f95aece79b,,0,4064312231229a0058b03132333435367739397a7b3c3e2f0e416142c17a567652,,0,4044332211001a0058303132333435362739283b3b3c3c2f2e416142417a563612,,0_0_0_10_14_8,-22.0
